id,lang,title,path,main_topic_number,main_topic_dir,subtopic_number,subtopic_dir,slug,review_status,translation_status,source_count,opened_at,canonical
LAP-01-01,hu,Zeichensatz ASCII,01_Grundlagen_in_der_Informationstechnik/01_Zeichensatz_ASCII/README.md,01,01_Grundlagen_in_der_Informationstechnik,01,01_Zeichensatz_ASCII,01-01-zeichensatz_ascii,draft,de_complete,7,2026-04-08,True
LAP-01-02,hu,Einheiten Bit und Byte,01_Grundlagen_in_der_Informationstechnik/02_Einheiten_Bit_und_Byte/README.md,01,01_Grundlagen_in_der_Informationstechnik,02,02_Einheiten_Bit_und_Byte,01-02-einheiten_bit_und_byte,draft,de_complete,7,2026-04-08,True
LAP-01-03,hu,"Gigabyte, Terabyte, Petabyte, Exabyte",01_Grundlagen_in_der_Informationstechnik/03_Gigabyte_Terabyte_Petabyte_Exabyte/README.md,01,01_Grundlagen_in_der_Informationstechnik,03,03_Gigabyte_Terabyte_Petabyte_Exabyte,01-03-gigabyte_terabyte_petabyte_exabyte,draft,de_complete,4,2026-04-08,True
LAP-01-04,hu,"Gibibyte, Tebibyte, Pebibyte, Exbibyte",01_Grundlagen_in_der_Informationstechnik/04_Gibibyte_Tebibyte_Pebibyte_Exbibyte/README.md,01,01_Grundlagen_in_der_Informationstechnik,04,04_Gibibyte_Tebibyte_Pebibyte_Exbibyte,01-04-gibibyte_tebibyte_pebibyte_exbibyte,draft,de_complete,6,2026-04-08,True
LAP-01-05,hu,Zahlensysteme in der IT,01_Grundlagen_in_der_Informationstechnik/05_Zahlensysteme_in_der_IT/README.md,01,01_Grundlagen_in_der_Informationstechnik,05,05_Zahlensysteme_in_der_IT,01-05-zahlensysteme_in_der_it,draft,de_complete,5,2026-04-08,True
LAP-01-06,hu,"Umwandlung zwischen Binär-, Dezimal- und Hexadezimalzahlen",01_Grundlagen_in_der_Informationstechnik/06_Umwandlung_Binaer_Dezimal_Hexadezimal/README.md,01,01_Grundlagen_in_der_Informationstechnik,06,06_Umwandlung_Binaer_Dezimal_Hexadezimal,01-06-umwandlung_binaer_dezimal_hexadezimal,draft,de_complete,5,2026-04-08,True
LAP-01-07,hu,Logikschaltungen und Wahrheitstabellen,01_Grundlagen_in_der_Informationstechnik/07_Logikschaltungen_und_Wahrheitstabellen/README.md,01,01_Grundlagen_in_der_Informationstechnik,07,07_Logikschaltungen_und_Wahrheitstabellen,01-07-logikschaltungen_und_wahrheitstabellen,draft,de_complete,3,2026-04-08,True
LAP-02-01,hu,Begriff Betriebssystem,02_Betriebssysteme_und_Software/01_Begriff_Betriebssystem/README.md,02,02_Betriebssysteme_und_Software,01,01_Begriff_Betriebssystem,02-01-begriff_betriebssystem,draft,de_complete,3,2026-04-08,True
LAP-02-02,hu,Marktfuehrende Betriebssysteme,02_Betriebssysteme_und_Software/02_Marktfuehrende_Betriebssysteme/README.md,02,02_Betriebssysteme_und_Software,02,02_Marktfuehrende_Betriebssysteme,02-02-marktfuehrende_betriebssysteme,draft,de_complete,5,2026-04-08,True
LAP-02-03,hu,Desktop Betriebssysteme,02_Betriebssysteme_und_Software/03_Desktop_Betriebssysteme/README.md,02,02_Betriebssysteme_und_Software,03,03_Desktop_Betriebssysteme,02-03-desktop_betriebssysteme,draft,de_complete,4,2026-04-08,True
LAP-02-04,hu,Begriff Firmware,02_Betriebssysteme_und_Software/04_Begriff_Firmware/README.md,02,02_Betriebssysteme_und_Software,04,04_Begriff_Firmware,02-04-begriff_firmware,draft,de_complete,3,2026-04-08,True
LAP-02-05,hu,Systemprogramm und Anwendungsprogramm,02_Betriebssysteme_und_Software/05_Systemprogramm_und_Anwendungsprogramm/README.md,02,02_Betriebssysteme_und_Software,05,05_Systemprogramm_und_Anwendungsprogramm,02-05-systemprogramm_und_anwendungsprogramm,draft,de_complete,4,2026-04-08,True
LAP-02-06,hu,Multitasking Betriebssystem,02_Betriebssysteme_und_Software/06_Multitasking_Betriebssystem/README.md,02,02_Betriebssysteme_und_Software,06,06_Multitasking_Betriebssystem,02-06-multitasking_betriebssystem,draft,de_complete,3,2026-04-08,True
LAP-02-07,hu,Single-User-System und Multi-User-System,02_Betriebssysteme_und_Software/07_Single_User_und_Multi_User_System/README.md,02,02_Betriebssysteme_und_Software,07,07_Single_User_und_Multi_User_System,02-07-single_user_und_multi_user_system,draft,de_complete,3,2026-04-08,True
LAP-02-08,hu,Powershell Grundlagen,02_Betriebssysteme_und_Software/08_Powershell_Grundlagen/README.md,02,02_Betriebssysteme_und_Software,08,08_Powershell_Grundlagen,02-08-powershell_grundlagen,draft,de_complete,7,2026-04-08,True
LAP-02-09,hu,Grafische Oberflaechen unter Linux,02_Betriebssysteme_und_Software/09_Grafische_Oberflaechen_unter_Linux/README.md,02,02_Betriebssysteme_und_Software,09,09_Grafische_Oberflaechen_unter_Linux,02-09-grafische_oberflaechen_unter_linux,draft,de_complete,5,2026-04-08,True
LAP-02-10,hu,Begriff Dateisystem,02_Betriebssysteme_und_Software/10_Begriff_Dateisystem/README.md,02,02_Betriebssysteme_und_Software,10,10_Begriff_Dateisystem,02-10-begriff_dateisystem,draft,de_complete,4,2026-04-08,True
LAP-03-01,hu,Smartphones technische Merkmale,03_Betreuung_von_mobiler_Hardware/01_Smartphones_technische_Merkmale/README.md,03,03_Betreuung_von_mobiler_Hardware,01,01_Smartphones_technische_Merkmale,03-01-smartphones_technische_merkmale,draft,de_complete,8,2026-04-08,True
LAP-03-02,hu,Tablets technische Merkmale,03_Betreuung_von_mobiler_Hardware/02_Tablets_technische_Merkmale/README.md,03,03_Betreuung_von_mobiler_Hardware,02,02_Tablets_technische_Merkmale,03-02-tablets_technische_merkmale,draft,de_complete,3,2026-04-08,True
LAP-03-03,hu,Android Grundlagen,03_Betreuung_von_mobiler_Hardware/03_Android_Grundlagen/README.md,03,03_Betreuung_von_mobiler_Hardware,03,03_Android_Grundlagen,03-03-android_grundlagen,draft,de_complete,4,2026-04-08,True
LAP-03-04,hu,iOS Grundlagen,03_Betreuung_von_mobiler_Hardware/04_iOS_Grundlagen/README.md,03,03_Betreuung_von_mobiler_Hardware,04,04_iOS_Grundlagen,03-04-ios_grundlagen,draft,de_complete,4,2026-04-08,True
LAP-03-05,hu,Begriff QR-Code,03_Betreuung_von_mobiler_Hardware/05_Begriff_QR_Code/README.md,03,03_Betreuung_von_mobiler_Hardware,05,05_Begriff_QR_Code,03-05-begriff_qr_code,draft,de_complete,3,2026-04-08,True
LAP-03-06,hu,Geschlossene Systeme und App Store,03_Betreuung_von_mobiler_Hardware/06_Geschlossene_Systeme_und_App_Store/README.md,03,03_Betreuung_von_mobiler_Hardware,06,06_Geschlossene_Systeme_und_App_Store,03-06-geschlossene_systeme_und_app_store,draft,de_complete,5,2026-04-08,True
LAP-04-01,hu,Aufgabe und Strukturierung von Testläufen,04_Technische_Dokumentation_Projektarbeit_Schulungen/01_Aufgabe_und_Strukturierung_von_Testlaeufen/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,01,01_Aufgabe_und_Strukturierung_von_Testlaeufen,04-01-aufgabe_und_strukturierung_von_testlaeufen,draft,de_complete,3,2026-04-08,True
LAP-04-02,hu,Protokollieren technischer Arbeiten,04_Technische_Dokumentation_Projektarbeit_Schulungen/02_Protokollieren_technischer_Arbeiten/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,02,02_Protokollieren_technischer_Arbeiten,04-02-protokollieren_technischer_arbeiten,draft,de_complete,3,2026-04-08,True
LAP-04-03,hu,Inhalt einer technischen Dokumentation,04_Technische_Dokumentation_Projektarbeit_Schulungen/03_Inhalt_technischer_Dokumentation/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,03,03_Inhalt_technischer_Dokumentation,04-03-inhalt_technischer_dokumentation,draft,de_complete,3,2026-04-08,True
LAP-04-04,hu,Aufbereitung technischer Dokumentation,04_Technische_Dokumentation_Projektarbeit_Schulungen/04_Aufbereitung_technischer_Dokumentation/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,04,04_Aufbereitung_technischer_Dokumentation,04-04-aufbereitung_technischer_dokumentation,draft,de_complete,3,2026-04-08,True
LAP-04-05,hu,Roll-out Ablauf und Prozessschritte,04_Technische_Dokumentation_Projektarbeit_Schulungen/05_Rollout_Ablauf_und_Prozessschritte/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,05,05_Rollout_Ablauf_und_Prozessschritte,04-05-rollout_ablauf_und_prozessschritte,draft,de_complete,4,2026-04-08,True
LAP-04-06,hu,Gestaltung und Vorbereitung von Präsentationen,04_Technische_Dokumentation_Projektarbeit_Schulungen/06_Gestaltung_und_Vorbereitung_von_Praesentationen/README.md,04,04_Technische_Dokumentation_Projektarbeit_Schulungen,06,06_Gestaltung_und_Vorbereitung_von_Praesentationen,04-06-gestaltung_und_vorbereitung_von_praesentationen,draft,de_complete,3,2026-04-08,True
